group_id;timestamp;paddockNames;lat;long;model_ref;Nmin [kg/ha];NO3-N [kg/ha];N total [%];P [mg/100g];K (beta) [mg/100g];Moisture [%];pH ;SOC [%];SOM [%];C/N Ratio ;Mg [mg/100g];Soil Temperature [øC];Air Temperature [øC];Humidity [%];Air Pressure [hPa];Volatile organic compounds [ohm];Soil texture class 
297-PGF-20221109-1;2022-11-09T10:07:42.000Z;Kassow_107;53.8677969;12.075;a51003b9-c769-417c-ab66-db562e2fb587;83;71;0,08;9,4;10,1;11,07;6,54;1,11;1,91;13,49;8,1;12,76;16,59;61,91;1005;114879;2
297-PGF-20221109-2;2022-11-09T10:12:44.000Z;Kassow_107;53.8674176;12.0755219;a51003b9-c769-417c-ab66-db562e2fb587;55;41;0,07;7,9;9,7;11,66;6,39;0,9;1,56;13,13;7,4;10,9;16,54;62,7;1005;117936;2
297-PGF-20221109-3;2022-11-09T10:17:18.000Z;Kassow_107;53.8671009;12.0760915;a51003b9-c769-417c-ab66-db562e2fb587;53;50;0,07;6,2;11;12,15;6,46;0,98;1,68;14,44;7;11,11;16,52;63;1005;120838;2
297-PGF-20221109-4;2022-11-09T10:22:03.000Z;Kassow_107;53.8668308;12.0766877;a51003b9-c769-417c-ab66-db562e2fb587;63;53;0,09;9,7;12,5;11,22;6,58;1,12;1,93;12,72;7,8;11,29;16,61;61,82;1005;124499;2
297-PGF-20221109-6;2022-11-09T10:31:08.000Z;Kassow_107;53.8670788;12.0773331;a51003b9-c769-417c-ab66-db562e2fb587;67;41;0,07;6,8;11,2;9,52;6,53;0,82;1,41;11,85;6,7;11,65;16,66;62,5;1005;126342;2
297-PGF-20221109-5;2022-11-09T10:25:50.000Z;Kassow_107;53.8664572;12.0771724;a51003b9-c769-417c-ab66-db562e2fb587;58;58;0,08;8,1;9;11,13;6,27;0,9;1,54;10,63;7,2;11,46;16,7;62,31;1005;124396;2
297-PGF-20221109-11;2022-11-09T10:55:55.000Z;Kassow_107;53.867704;12.0772018;a51003b9-c769-417c-ab66-db562e2fb587;56;55;0,08;7,2;9;10,72;6,44;0,8;1,38;10,49;5,2;11,35;16,46;62,22;1005;130234;2
297-PGF-20221109-12;2022-11-09T11:00:20.000Z;Kassow_107;53.8674641;12.0778031;a51003b9-c769-417c-ab66-db562e2fb587;72;64;0,07;8,6;11,2;11,15;6,49;1,09;1,88;14,96;6;11,33;15,97;62,97;1005;131290;2
297-PGF-20221109-7;2022-11-09T10:35:52.000Z;Kassow_107;53.8673453;12.076994;a51003b9-c769-417c-ab66-db562e2fb587;57;45;0,08;7,5;11,1;12,11;6,42;1,02;1,75;13,24;6,6;11,43;16,73;61,72;1005;127466;2
297-PGF-20221109-8;2022-11-09T10:41:42.000Z;Kassow_107;53.8675805;12.0764067;a51003b9-c769-417c-ab66-db562e2fb587;65;50;0,08;7,3;9,5;10,66;6,34;0,86;1,49;10,65;5,8;11,35;17;62,09;1005;123969;2
297-PGF-20221109-10;2022-11-09T10:51:02.000Z;Kassow_107;53.8680279;12.0764679;a51003b9-c769-417c-ab66-db562e2fb587;57;41;0,09;7,4;9;12,13;6,38;1,07;1,85;12,48;5,3;11,57;16,91;60,82;1005;127023;2
297-PGF-20221109-9;2022-11-09T10:45:49.000Z;Kassow_107;53.8679013;12.0759004;a51003b9-c769-417c-ab66-db562e2fb587;57;46;0,07;7,7;9,2;12,08;6,46;0,85;1,47;12,12;5,9;11,64;17,62;60,01;1005;121730;2
