"group_id","device_id","timestamp","paddockNames","lat","long","model_ref","Nmin [kg/ha]","Nmin - Nutrient class","NO3-N [kg/ha]","NO3-N - Nutrient class","N total [%]","N total - Nutrient class","P [mg/100g]","P - Nutrient class","K (beta) [mg/100g]","K (beta) - Nutrient class","Moisture [%]","Moisture - Nutrient class","pH ","pH - Nutrient class","SOC [%]","SOC - Nutrient class","SOM [%]","SOM - Nutrient class","C/N Ratio ","C/N Ratio - Nutrient class","Mg [mg/100g]","Mg - Nutrient class","Soil Temperature [°C]","Light (infrared) [lux]","Light (visible) [lux]","Air Temperature [°C]","Humidity [%]","Air Pressure [hPa]","Volatile organic compounds [ohm]","Soil texture class ","issue_classes","labels"
"297-PGF-20221110-1",297,"2022-11-10T10:12:45.000Z","Gut Dummerstorf","54.0040433","12.2490077","a51003b9-c769-417c-ab66-db562e2fb587",88,"",50,"C",0.1,"",15.9,"",14,"",12.3,"",6.7,"C",1.2,"",2.1,"",13.8,"D",10.7,"",11,1895,403,16.9,59.9,1016,145158,4,"",""
"297-PGF-20221110-3",297,"2022-11-10T10:20:07.000Z","Gut Dummerstorf","54.0043926","12.2498576","a51003b9-c769-417c-ab66-db562e2fb587",102,"",68,"C",0.1,"",16,"",14.8,"",14.3,"",6.6,"C",1.4,"",2.4,"",9.9,"C",8.9,"",10.1,2265,460,15.1,65.8,1016,150532,3,"",""
"297-PGF-20221110-2",297,"2022-11-10T10:16:32.000Z","Gut Dummerstorf","54.0039306","12.2502679","a51003b9-c769-417c-ab66-db562e2fb587",91,"",67,"C",0.1,"",12.6,"",15,"",14.3,"",6.7,"E",1.3,"",2.2,"",12.1,"D",8.1,"",10.4,2524,564,15.7,63.8,1016,148775,2,"",""
"297-PGF-20221110-4",297,"2022-11-10T10:24:01.000Z","Gut Dummerstorf","54.0048776","12.2494326","a51003b9-c769-417c-ab66-db562e2fb587",87,"",63,"C",0.1,"",9.6,"",14.3,"",14.5,"",6.8,"D",1.3,"",2.2,"",10.1,"D",9.1,"",10,906,213,14.7,66.5,1016,150228,3,"",""
"297-PGF-20221110-6",297,"2022-11-10T10:36:08.000Z","Gut Dummerstorf","54.0059468","12.2485359","a51003b9-c769-417c-ab66-db562e2fb587",96,"",52,"C",0.1,"",11.7,"",13.3,"",13.7,"",6.7,"C",1.4,"",2.5,"",13,"D",8.6,"",10.1,1505,414,13.9,70,1016,150354,4,"28",""
"297-PGF-20221110-5",297,"2022-11-10T10:30:37.000Z","Gut Dummerstorf","54.0053296","12.2489987","a51003b9-c769-417c-ab66-db562e2fb587",62,"",50,"C",0.1,"",14,"",14,"",14.7,"",6.6,"C",1.8,"",3.1,"",13.8,"D",11.1,"",9.9,908,240,13.6,70.3,1016,153366,4,"",""
"297-PGF-20221110-8",297,"2022-11-10T10:45:56.000Z","Gut Dummerstorf","54.0056548","12.2498428","a51003b9-c769-417c-ab66-db562e2fb587",66,"",37,"B",0.1,"",9.9,"",14.6,"",16,"",6.9,"C",1.5,"",2.6,"",14.3,"D",11.9,"",10.2,906,231,13.3,72.1,1016,151957,4,"",""
"297-PGF-20221110-9",297,"2022-11-10T10:49:52.000Z","Gut Dummerstorf","54.0052032","12.2503087","a51003b9-c769-417c-ab66-db562e2fb587",74,"",60,"C",0.1,"",7.8,"",14.4,"",13.1,"",6.6,"D",1.4,"",2.3,"",10.5,"D",9.2,"",10.2,1113,297,13.3,73.1,1016,151864,2,"",""
"297-PGF-20221110-10",297,"2022-11-10T10:54:20.000Z","Gut Dummerstorf","54.0046561","12.2509055","a51003b9-c769-417c-ab66-db562e2fb587",81,"",75,"C",0.1,"",9,"",13.8,"",12.3,"",6.6,"D",1.2,"",2,"",9.9,"C",7.3,"",10.2,804,217,13.1,72.8,1016,153699,2,"",""
"297-PGF-20221110-11",297,"2022-11-10T10:58:58.000Z","Gut Dummerstorf","54.0039277","12.2515338","a51003b9-c769-417c-ab66-db562e2fb587",71,"",63,"C",0.1,"",7.8,"",13.6,"",12.9,"",6.8,"E",1.3,"",2.2,"",10,"D",10.3,"",10.3,599,156,13,73.1,1016,152701,2,"",""
"297-PGF-20221110-7",297,"2022-11-10T10:40:38.000Z","Gut Dummerstorf","54.0061701","12.249272","a51003b9-c769-417c-ab66-db562e2fb587",66,"",48,"C",0.1,"",10.2,"",13.6,"",13.3,"",6.7,"E",1.4,"",2.4,"",12.8,"D",10.3,"",10.3,1098,285,13.8,70.5,1016,151753,2,"",""
"297-PGF-20221110-12",297,"2022-11-10T11:05:20.000Z","Gut Dummerstorf","54.003235","12.2527484","a51003b9-c769-417c-ab66-db562e2fb587",92,"",78,"C",0.1,"",13.8,"",15,"",14.7,"",6.6,"C",1.4,"",2.4,"",10.8,"D",10.5,"",10.2,1028,287,13,73.1,1016,146954,3,"",""
"297-PGF-20221110-13",297,"2022-11-10T11:10:01.000Z","Gut Dummerstorf","54.0036321","12.2528197","a51003b9-c769-417c-ab66-db562e2fb587",64,"",64,"C",0.1,"",8.1,"",12,"",12,"",6.4,"D",1.2,"",2.1,"",10.5,"D",6.6,"",10.1,746,204,13,73.2,1016,151200,2,"",""
"297-PGF-20221110-17",297,"2022-11-10T11:29:04.000Z","Gut Dummerstorf","54.0054745","12.2510053","a51003b9-c769-417c-ab66-db562e2fb587",66,"",66,"C",0.1,"",8.7,"",13.4,"",12.7,"",6.6,"C",1.1,"",2,"",9.6,"C",7.3,"",10.3,774,215,12.7,72.8,1016,157472,3,"",""
"297-PGF-20221110-16",297,"2022-11-10T11:24:50.000Z","Gut Dummerstorf","54.0049701","12.251562","a51003b9-c769-417c-ab66-db562e2fb587",61,"",61,"C",0.1,"",10,"",13.1,"",11.3,"",6.4,"D",1.2,"",2,"",10,"D",6.5,"",10.4,894,256,12.7,73,1016,160630,2,"",""
"297-PGF-20221110-14",297,"2022-11-10T11:13:58.000Z","Gut Dummerstorf","54.0040343","12.2523726","a51003b9-c769-417c-ab66-db562e2fb587",80,"",42,"B",0.1,"",9.7,"",11.5,"",10,"",6.5,"D",1.1,"",1.9,"",10.3,"D",7.1,"",10.3,888,254,13.1,73.8,1016,151838,2,"",""
"297-PGF-20221110-15",297,"2022-11-10T11:20:32.000Z","Gut Dummerstorf","54.0045192","12.2518701","a51003b9-c769-417c-ab66-db562e2fb587",114,"",114,"D",0.2,"",7.3,"",15.4,"",14.3,"",6.5,"C",1.9,"",3.3,"",11.2,"D",9.7,"",10.1,783,223,13,73.2,1016,153181,3,"",""
"297-PGF-20221110-18",297,"2022-11-10T11:33:26.000Z","Gut Dummerstorf","54.0060578","12.251532","a51003b9-c769-417c-ab66-db562e2fb587",80,"",75,"C",0.1,"",10.1,"",13.5,"",12.9,"",6.5,"E",1,"",1.8,"",9.6,"C",7,"",10.3,692,195,12.8,73.1,1016,154857,1,"",""
"297-PGF-20221110-20",297,"2022-11-10T11:42:14.000Z","Gut Dummerstorf","54.0049595","12.2526165","a51003b9-c769-417c-ab66-db562e2fb587",52,"",52,"C",0.1,"",6.5,"",11.3,"",11.4,"",6.4,"D",1.1,"",1.8,"",11.3,"D",7,"",10.3,728,203,12.8,73.3,1016,157058,2,"",""
"297-PGF-20221110-21",297,"2022-11-10T11:46:33.000Z","Gut Dummerstorf","54.0043452","12.2532189","a51003b9-c769-417c-ab66-db562e2fb587",67,"",51,"C",0.2,"",10.2,"",14.2,"",15.4,"",6.5,"C",2.1,"",3.6,"",13,"D",9.3,"",10.3,1025,287,12.6,73.9,1017,159956,3,"",""
"297-PGF-20221110-22",297,"2022-11-10T11:50:32.000Z","Gut Dummerstorf","54.0038934","12.2536611","a51003b9-c769-417c-ab66-db562e2fb587",72,"",54,"C",0.1,"",12.4,"",12,"",10.8,"",6.4,"D",1.3,"",2.3,"",12.1,"D",6,"",10.4,1398,370,12.7,73.3,1016,158836,2,"28",""
"297-PGF-20221110-19",297,"2022-11-10T11:37:34.000Z","Gut Dummerstorf","54.0055075","12.2521341","a51003b9-c769-417c-ab66-db562e2fb587",63,"",62,"C",0.1,"",10.5,"",13.1,"",11.4,"",6.5,"D",1.2,"",2,"",9.9,"C",7,"",10.3,670,189,12.9,73.2,1016,153790,2,"28",""
"297-PGF-20230110-1",297,"2023-01-10T13:46:29.000Z","Gut Dummerstorf","54.0040198","12.2490279","6f10978b-3654-48fb-92fb-478b29e29c69",46,"",21,"B",0.1,"",5.9,"",15.1,"",19.1,"",7,"C",1.4,"",2.4,"",10,"C",13.1,"",6.4,255,66,10.1,65.3,1011,247130,4,"",""
"297-PGF-20230110-2",297,"2023-01-10T13:58:18.000Z","Gut Dummerstorf","54.0038448","12.2499822","6f10978b-3654-48fb-92fb-478b29e29c69",43,"",22,"B",0.2,"",5.5,"",12.8,"",20.3,"",6.8,"C",1.7,"",3,"",8.9,"C",10.9,"",5.4,186,52,8.7,70.4,1012,277947,4,"",""
"297-PGF-20230110-3",297,"2023-01-10T14:15:25.000Z","Gut Dummerstorf","54.0042798","12.2496646","6f10978b-3654-48fb-92fb-478b29e29c69",48,"",45,"C",0.2,"",6.1,"",13.8,"",18.8,"",6.9,"E",1.4,"",2.5,"",8.1,"C",8.7,"",5.3,123,41,8.1,72.2,1012,300104,2,"",""
"297-PGF-20230110-4",297,"2023-01-10T14:25:10.000Z","Gut Dummerstorf","54.0044855","12.2494373","6f10978b-3654-48fb-92fb-478b29e29c69",64,"",64,"C",0.2,"",6.4,"",12.7,"",17.9,"",6.7,"D",1.4,"",2.4,"",7.3,"C",10.3,"",5.3,99,28,7.8,74.1,1012,309437,2,"",""
"297-PGF-20230110-5",297,"2023-01-10T14:34:07.000Z","Gut Dummerstorf","54.0049563","12.2490475","6f10978b-3654-48fb-92fb-478b29e29c69",42,"",38,"B",0.2,"",8.1,"",14.6,"",19.4,"",7.1,"D",1.7,"",2.9,"",10.4,"D",10.3,"",5.3,51,20,7.7,74.2,1012,310555,3,"",""
"297-PGF-20230110-6",297,"2023-01-10T14:41:57.000Z","Gut Dummerstorf","54.0058101","12.248598","6f10978b-3654-48fb-92fb-478b29e29c69",47,"",40,"B",0.2,"",9.3,"",13.3,"",20.1,"",6.9,"D",1.8,"",3,"",10.5,"D",10.9,"",5.3,19,9,7.4,75,1012,313196,3,"",""
