"group_id","device_id","timestamp","paddockNames","lat","long","model_ref","Nmin [kg/ha]","Nmin - Nutrient class","NO3-N [kg/ha]","NO3-N - Nutrient class","N total [%]","N total - Nutrient class","P [mg/100g]","P - Nutrient class","K (beta) [mg/100g]","K (beta) - Nutrient class","Moisture [%]","Moisture - Nutrient class","pH ","pH - Nutrient class","SOC [%]","SOC - Nutrient class","SOM [%]","SOM - Nutrient class","C/N Ratio ","C/N Ratio - Nutrient class","Mg [mg/100g]","Mg - Nutrient class","Soil Temperature [°C]","Light (infrared) [lux]","Light (visible) [lux]","Air Temperature [°C]","Humidity [%]","Air Pressure [hPa]","Volatile organic compounds [ohm]","Soil texture class ","issue_classes","labels"
"297-PGF-20230209-1-flkz",297,"2023-02-09T13:25:47.000Z","Teterow","53.7613835","12.5539746","6f10978b-3654-48fb-92fb-478b29e29c69",55,"",48,"C",0.1,"",10.5,"",14.9,"",13,"",6.9,"D",1.4,"",2.4,"",13,"D",10.8,"",0.2,2005,510,7.1,45,1027,507016,3,"6",""
"297-PGF-20230209-2-bvws",297,"2023-02-09T13:36:36.000Z","Teterow","53.7604731","12.5521711","6f10978b-3654-48fb-92fb-478b29e29c69",83,"",83,"C",0.2,"",18.4,"",12.5,"",11.6,"",7.3,"E",1.4,"",2.3,"",8.2,"C",9.6,"",-0.6,1462,346,5.3,49.7,1027,537381,2,"28,6",""
"297-PGF-20230209-3-vanw",297,"2023-02-09T13:50:27.000Z","Teterow","53.7601482","12.5515991","6f10978b-3654-48fb-92fb-478b29e29c69",52,"",52,"C",0.1,"",9.9,"",12.3,"",11.5,"",6.7,"E",1.4,"",2.5,"",11,"D",7.8,"",-0.6,845,208,4.8,50.4,1027,558267,2,"6",""
"297-PGF-20230209-4-uqvj",297,"2023-02-09T13:57:04.000Z","Teterow","53.7600283","12.5504608","6f10978b-3654-48fb-92fb-478b29e29c69",75,"",75,"C",0.1,"",6.8,"",13.8,"",11,"",6.6,"D",1.3,"",2.3,"",11.2,"D",6.3,"",-0.6,740,190,4.1,52.6,1027,566846,2,"",""
"297-PGF-20230209-5-nyuz",297,"2023-02-09T14:05:29.000Z","Teterow","53.7610473","12.5523392","6f10978b-3654-48fb-92fb-478b29e29c69",71,"",71,"C",0.1,"",7.5,"",15,"",12.2,"",6.6,"D",1.1,"",1.9,"",11.2,"D",6.6,"",-0.7,593,145,3.9,53.7,1027,559716,2,"",""
"297-PGF-20230209-7-xwxc",297,"2023-02-09T14:25:05.000Z","Teterow","53.7613074","12.5516442","6f10978b-3654-48fb-92fb-478b29e29c69",53,"",53,"C",0.1,"",6.5,"",11.2,"",9.2,"",6.5,"D",1.1,"",2,"",14.3,"D",5.5,"",-0.6,592,148,3.8,55.5,1027,540476,2,"",""
"297-PGF-20230209-8-ippf",297,"2023-02-09T14:31:21.000Z","Teterow","53.7610491","12.5510901","6f10978b-3654-48fb-92fb-478b29e29c69",86,"",86,"D",0.1,"",6.7,"",12.5,"",12.6,"",6.3,"C",1.8,"",3,"",13.9,"D",7.8,"",-0.7,534,133,3.6,55.8,1028,532282,2,"28,6",""
"297-PGF-20230209-9-oujb",297,"2023-02-09T14:39:49.000Z","Teterow","53.7603199","12.5483225","6f10978b-3654-48fb-92fb-478b29e29c69",72,"",72,"C",0.1,"",4.2,"",13.1,"",8.9,"",6.6,"D",1,"",1.7,"",10.6,"D",5.4,"",-0.8,355,89,3.3,59.5,1027,527382,2,"28",""
"297-PGF-20230209-10-qunu",297,"2023-02-09T14:43:23.000Z","Teterow","53.7606222","12.5489512","6f10978b-3654-48fb-92fb-478b29e29c69",43,"",43,"B",0.1,"",6.9,"",14.7,"",13.2,"",6.5,"D",1.2,"",2.1,"",11.7,"D",7.3,"",-0.7,378,94,3.2,59.8,1027,530318,2,"",""
"297-PGF-20230209-11-cdzc",297,"2023-02-09T14:50:53.000Z","Teterow","53.7615823","12.5508823","6f10978b-3654-48fb-92fb-478b29e29c69",75,"",75,"C",0.1,"",8.1,"",11.5,"",10.2,"",6.8,"E",1.4,"",2.4,"",10.6,"D",7.2,"",-0.6,335,78,3,56.9,1027,560825,2,"28",""
"297-PGF-20230209-6-lkil",297,"2023-02-09T14:17:24.000Z","Teterow","53.761368149999996","12.552952","6f10978b-3654-48fb-92fb-478b29e29c69",66,"",66,"C",0.1,"",7.3,"",16.1,"",12.3,"",6.8,"D",1.1,"",1.9,"",14.4,"D",7.2,"",-0.6,577,147,3.8,54.9,1027,544142,3,"",""
"297-PGF-20230308-66-chbw",297,"2023-03-09T09:17:45.000Z","Teterow","53.7614079","12.5538148","6f10978b-3654-48fb-92fb-478b29e29c69",47,"",26,"B",0.2,"",7.7,"",12.8,"",21.1,"",7,"D",1.7,"",2.9,"",10.6,"D",13.5,"",2.2,1285,332,9,45.7,997,760450,4,"",""
"297-PGF-20230309-2-bqav",297,"2023-03-09T09:21:45.000Z","Teterow","53.7611295","12.5532292","6f10978b-3654-48fb-92fb-478b29e29c69",44,"",44,"B",0.2,"",8.3,"",11.2,"",21,"",6.9,"C",1.3,"",2.2,"",7.9,"C",9.5,"",0.7,1343,356,7.7,49.2,997,782266,4,"28",""
"297-PGF-20230309-3-gztu",297,"2023-03-09T09:25:22.000Z","Teterow","53.7608425","12.5526587","6f10978b-3654-48fb-92fb-478b29e29c69",39,"",39,"B",0.2,"",16.6,"",14.3,"",19.8,"",7.2,"D",1.9,"",3.3,"",11,"D",12.6,"",0.5,1335,337,6.7,53.4,997,788242,4,"",""
"297-PGF-20230309-4-mazo",297,"2023-03-09T09:28:29.000Z","Teterow","53.7605511","12.5520179","6f10978b-3654-48fb-92fb-478b29e29c69",57,"",57,"C",0.2,"",10.5,"",13.6,"",20.9,"",6.9,"E",1.7,"",3,"",8.1,"C",11.4,"",0.5,1472,371,6.1,55.8,997,796987,2,"",""
"297-PGF-20230309-5-uvjw",297,"2023-03-09T09:32:19.000Z","Teterow","53.7602392","12.5513645","6f10978b-3654-48fb-92fb-478b29e29c69",84,"",84,"C",0.2,"",5.6,"",11.8,"",19.7,"",6.4,"D",1.7,"",2.8,"",10,"D",9.8,"",0.4,1677,451,5.6,57.6,997,800036,2,"28",""
"297-PGF-20230309-6-emgi",297,"2023-03-09T09:35:52.000Z","Teterow","53.7598924","12.5507762","6f10978b-3654-48fb-92fb-478b29e29c69",61,"",61,"C",0.2,"",8.6,"",12.7,"",18.4,"",6.6,"D",1.3,"",2.2,"",7.3,"C",10.5,"",0.3,1789,470,4.9,58.9,997,822417,2,"",""
"297-PGF-20230309-7-fsqk",297,"2023-03-09T09:39:05.000Z","Teterow","53.7595887","12.5502056","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",59,"C",0.2,"",12.2,"",12.7,"",21.2,"",6.9,"D",1.3,"",2.2,"",7.4,"C",9.9,"",0.4,1522,383,4.9,58.9,997,835137,3,"",""
"297-PGF-20230309-8-ttla",297,"2023-03-09T09:41:48.000Z","Teterow","53.7591776","12.5501479","6f10978b-3654-48fb-92fb-478b29e29c69",77,"",77,"C",0.2,"",9.4,"",12.3,"",20.7,"",6.7,"E",1.6,"",2.7,"",7.4,"C",10.3,"",0.5,1682,447,4.7,59.3,997,850897,2,"28,6",""
"297-PGF-20230309-10-wwlk",297,"2023-03-09T09:53:20.000Z","Teterow","53.7603359","12.5509081","6f10978b-3654-48fb-92fb-478b29e29c69",86,"",86,"D",0.2,"",8.8,"",12.7,"",21.1,"",6.4,"D",1.7,"",3,"",7.6,"C",13.4,"",0.4,1726,435,4,62,997,876364,2,"28",""
"297-PGF-20230309-11-jtdx",297,"2023-03-09T09:56:31.000Z","Teterow","53.7606454","12.5515222","6f10978b-3654-48fb-92fb-478b29e29c69",78,"",78,"C",0.2,"",6.2,"",11.7,"",20,"",6.7,"D",1.6,"",2.7,"",8.6,"C",10.6,"",0.5,1582,393,4.1,63,997,862386,2,"",""
"297-PGF-20230309-12-qvol",297,"2023-03-09T09:59:37.000Z","Teterow","53.7609599","12.5521914","6f10978b-3654-48fb-92fb-478b29e29c69",75,"",75,"C",0.2,"",8.2,"",12.6,"",20.3,"",6.8,"E",1.2,"",2.1,"",6.9,"C",10.9,"",0.5,1746,451,4,62.9,997,874122,2,"28",""
"297-PGF-20230309-13-iesx",297,"2023-03-09T10:02:36.000Z","Teterow","53.7612676","12.5527746","6f10978b-3654-48fb-92fb-478b29e29c69",32,"",32,"B",0.1,"",14.6,"",12.4,"",20.4,"",7.1,"D",1.3,"",2.3,"",9.7,"C",12.4,"",0.5,1903,521,4,63,997,883627,4,"",""
"297-PGF-20230309-14-kndm",297,"2023-03-09T10:06:52.000Z","Teterow","53.7615783","12.5522042","6f10978b-3654-48fb-92fb-478b29e29c69",43,"",43,"B",0.2,"",10.5,"",12.6,"",21.2,"",7.1,"D",1.4,"",2.4,"",8.2,"C",11.5,"",0.5,2081,562,4.2,61.9,998,897363,4,"",""
"297-PGF-20230309-15-eboj",297,"2023-03-09T10:10:15.000Z","Teterow","53.7612729","12.5515919","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",59,"C",0.2,"",13.8,"",13.8,"",20.3,"",6.8,"D",1.7,"",2.9,"",10.8,"D",10.4,"",0.7,2400,649,4.4,62.7,998,891189,3,"",""
"297-PGF-20230309-16-ecvj",297,"2023-03-09T10:13:01.000Z","Teterow","53.7609623","12.5509948","6f10978b-3654-48fb-92fb-478b29e29c69",84,"",84,"C",0.2,"",13.2,"",14.6,"",19.7,"",6.7,"D",1.7,"",3,"",9.2,"C",11.7,"",0.8,1738,435,4.5,62.2,998,882233,2,"",""
"297-PGF-20230309-17-oqxz",297,"2023-03-09T10:18:00.000Z","Teterow","53.7606718","12.5503479","6f10978b-3654-48fb-92fb-478b29e29c69",90,"",90,"D",0.2,"",12.1,"",13.6,"",17.7,"",6.2,"C",1.9,"",3.4,"",12.6,"D",9.7,"",0.6,1978,544,4.4,62.6,998,877963,2,"",""
"297-PGF-20230309-18-yoyh",297,"2023-03-09T10:22:44.000Z","Teterow","53.7602334","12.5494807","6f10978b-3654-48fb-92fb-478b29e29c69",66,"",66,"C",0.1,"",18.7,"",14,"",18.7,"",7.1,"E",1.3,"",2.3,"",9.2,"C",9.6,"",0.6,1512,405,4.3,62.8,997,864634,3,"28,6",""
"297-PGF-20230309-19-zzci",297,"2023-03-09T10:26:41.000Z","Teterow","53.7599429","12.5489021","6f10978b-3654-48fb-92fb-478b29e29c69",76,"",76,"C",0.2,"",5.4,"",13,"",19.6,"",6.5,"D",1.3,"",2.3,"",7.4,"C",10.2,"",0.4,1545,403,4.4,63,997,855902,2,"28",""
"297-PGF-20230309-20-cnzg",297,"2023-03-09T10:29:32.000Z","Teterow","53.7602645","12.548433","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",59,"C",0.2,"",11.3,"",13.2,"",19.9,"",7.2,"D",1.4,"",2.3,"",8.8,"C",11,"",0.5,1658,455,4.3,63,997,863673,4,"",""
"297-PGF-20230309-21-cnsi",297,"2023-03-09T10:33:09.000Z","Teterow","53.7605794","12.5490606","6f10978b-3654-48fb-92fb-478b29e29c69",61,"",61,"C",0.2,"",12.6,"",12.6,"",20.8,"",7.1,"D",1.2,"",2,"",7.5,"C",9.8,"",0.5,1821,489,4.3,63.2,997,868373,4,"",""
"297-PGF-20230309-22-lvrl",297,"2023-03-09T10:37:19.000Z","Teterow","53.7608824","12.5496648","6f10978b-3654-48fb-92fb-478b29e29c69",88,"",88,"D",0.2,"",5.1,"",12.6,"",18.9,"",6.2,"C",1.6,"",2.8,"",9.7,"C",8.8,"",0.6,1827,490,4.2,64,998,868811,2,"",""
"297-PGF-20230309-23-wvha",297,"2023-03-09T10:41:22.000Z","Teterow","53.7612204","12.5502874","6f10978b-3654-48fb-92fb-478b29e29c69",80,"",80,"C",0.2,"",8.7,"",12.2,"",19.6,"",6.7,"E",1.3,"",2.2,"",6.9,"C",10.7,"",0.8,1792,480,4.1,64.5,998,849788,2,"",""
"297-PGF-20230309-24-pqum",297,"2023-03-09T10:45:02.000Z","Teterow","53.7615003","12.5509117","6f10978b-3654-48fb-92fb-478b29e29c69",77,"",77,"C",0.2,"",8.1,"",11.6,"",22.5,"",6.8,"E",1.9,"",3.4,"",8.4,"C",12.2,"",0.9,1805,484,4.4,64.2,998,845946,2,"",""
"297-PGF-20230309-25-aoui",297,"2023-03-09T10:47:34.000Z","Teterow","53.7617838","12.5514947","6f10978b-3654-48fb-92fb-478b29e29c69",57,"",57,"C",0.2,"",11.9,"",13.5,"",20.2,"",7,"D",1.5,"",2.7,"",8.3,"C",10,"",0.9,1569,422,4.6,63.5,998,843169,4,"",""
"297-PGF-20230309-26-mteu",297,"2023-03-09T10:51:43.000Z","Teterow","53.761768","12.5504659","6f10978b-3654-48fb-92fb-478b29e29c69",65,"",65,"C",0.2,"",6.5,"",11.8,"",18.2,"",6.6,"D",1.4,"",2.4,"",7.7,"C",8.9,"",1.1,1765,470,4.5,62.7,998,855806,2,"",""
"297-PGF-20230309-27-xtws",297,"2023-03-09T10:54:36.000Z","Teterow","53.7614678","12.5498399","6f10978b-3654-48fb-92fb-478b29e29c69",75,"",75,"C",0.2,"",6,"",12.9,"",19.2,"",6.5,"C",1.4,"",2.5,"",8,"C",9.1,"",0.9,1803,480,4.5,63.1,998,886853,3,"",""
"297-PGF-20230309-28-cnfs",297,"2023-03-09T10:57:38.000Z","Teterow","53.7611537","12.5492249","6f10978b-3654-48fb-92fb-478b29e29c69",98,"",98,"D",0.1,"",5.3,"",14.5,"",17.8,"",6.1,"C",1.5,"",2.6,"",10.9,"D",9,"",0.6,1739,465,4.4,62.3,998,902672,2,"",""
"297-PGF-20230309-29-uziv",297,"2023-03-09T11:00:58.000Z","Teterow","53.7607057","12.5483535","6f10978b-3654-48fb-92fb-478b29e29c69",79,"",79,"C",0.2,"",6.6,"",11.8,"",18.5,"",6.4,"D",1.4,"",2.4,"",8,"C",9.4,"",0.6,1482,399,4.6,63.2,998,869259,2,"28",""
"297-PGF-20230309-30-cnsf",297,"2023-03-09T11:05:08.000Z","Teterow","53.7604067","12.5477869","6f10978b-3654-48fb-92fb-478b29e29c69",61,"",61,"C",0.1,"",10.9,"",13.7,"",20.4,"",7.2,"D",1.2,"",2,"",9.6,"C",11.3,"",0.4,1248,340,4.6,62.5,998,868350,4,"",""
"297-PGF-20230309-31-enfl",297,"2023-03-09T11:09:46.000Z","Teterow","53.7610647","12.547834","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",59,"C",0.2,"",13.7,"",13.7,"",21.7,"",7.1,"C",1.7,"",2.9,"",9.3,"C",14.8,"",0.9,1433,392,4.4,63.6,998,855855,5,"28",""
"297-PGF-20230309-32-sbdo",297,"2023-03-09T11:12:52.000Z","Teterow","53.7613645","12.5484362","6f10978b-3654-48fb-92fb-478b29e29c69",46,"",46,"C",0.2,"",15.2,"",14.9,"",21.9,"",7.1,"C",1.9,"",3.4,"",10,"C",15,"",1.1,1569,440,4.3,63,998,882465,5,"",""
"297-PGF-20230309-33-tocy",297,"2023-03-09T11:15:53.000Z","Teterow","53.7616519","12.5490125","6f10978b-3654-48fb-92fb-478b29e29c69",47,"",47,"C",0.2,"",17.8,"",13.4,"",21.5,"",7.1,"D",2,"",3.4,"",9.5,"C",14.2,"",1,1476,409,4.2,62.5,998,909450,4,"6",""
"297-PGF-20230412-1-iuby",297,"2023-04-12T13:18:05.000Z","Teterow","53.761339","12.5537311","6f10978b-3654-48fb-92fb-478b29e29c69",55,"",11,"B",0.2,"",17,"",13.8,"",18.2,"",7,"D",2,"",3.4,"",12.1,"D",14.4,"",12.9,1652,431,16.2,40.5,1000,665525,4,"",""
"297-PGF-20230412-2-ggkm",297,"2023-04-12T13:20:56.000Z","Teterow","53.76113","12.5532259","6f10978b-3654-48fb-92fb-478b29e29c69",41,"",22,"B",0.1,"",12.1,"",11.1,"",17.1,"",7,"C",1.7,"",3,"",12.8,"D",12.6,"",11,1807,480,15.9,41.8,1000,687014,4,"",""
"297-PGF-20230412-3-aznb",297,"2023-04-12T13:34:07.000Z","Teterow","53.7608531","12.5526359","6f10978b-3654-48fb-92fb-478b29e29c69",67,"",35,"B",0.2,"",22.5,"",12.2,"",18,"",7.1,"D",2.4,"",4.1,"",15.2,"E",14,"",10.6,2072,545,15.3,42.9,1000,760448,4,"6",""
"297-PGF-20230412-4-ugzb",297,"2023-04-12T13:38:47.000Z","Teterow","53.76057","12.5520556","6f10978b-3654-48fb-92fb-478b29e29c69",38,"",7,"B",0.2,"",19.3,"",13.2,"",17.2,"",6.8,"C",1.9,"",3.2,"",12.3,"D",11.5,"",10,1803,479,15.2,44,1000,791566,4,"",""
"297-PGF-20230412-5-igex",297,"2023-04-12T13:42:01.000Z","Teterow","53.7602399","12.5513825","6f10978b-3654-48fb-92fb-478b29e29c69",46,"",28,"B",0.2,"",10.2,"",10.8,"",18,"",6.6,"D",2,"",3.5,"",9.6,"C",10.8,"",10.1,1539,414,15.2,44.6,1000,791160,2,"",""
"297-PGF-20230412-6-mdjc",297,"2023-04-12T13:44:44.000Z","Teterow","53.7599245","12.5507837","6f10978b-3654-48fb-92fb-478b29e29c69",35,"",26,"B",0.2,"",7.2,"",11.5,"",17,"",6.8,"E",1.6,"",2.8,"",9.1,"C",11.4,"",10.4,1362,364,15.1,43.3,1000,825251,2,"",""
"297-PGF-20230412-7-rvto",297,"2023-04-12T13:48:41.000Z","Teterow","53.7596309","12.5502444","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",24,"B",0.2,"",20.7,"",12.2,"",19.4,"",6.8,"D",2.2,"",3.7,"",11.6,"D",13.3,"",10.3,1232,319,14.9,42.9,1000,843415,3,"",""
"297-PGF-20230412-8-ahln",297,"2023-04-12T13:51:57.000Z","Teterow","53.7592197","12.5501713","6f10978b-3654-48fb-92fb-478b29e29c69",40,"",22,"B",0.2,"",13.3,"",11.5,"",19.6,"",6.7,"E",2.1,"",3.6,"",10,"C",12.2,"",10.1,952,237,15.2,45.3,1000,785018,2,"",""
"297-PGF-20230412-9-pdcc",297,"2023-04-12T13:57:48.000Z","Teterow","53.7604137","12.5509178","6f10978b-3654-48fb-92fb-478b29e29c69",48,"",42,"B",0.2,"",17.9,"",12.3,"",18.2,"",6.9,"E",2,"",3.5,"",10.2,"D",12,"",9.6,921,237,15.3,42.1,1000,841491,2,"28",""
"297-PGF-20230412-10-cymk",297,"2023-04-12T14:00:38.000Z","Teterow","53.7607266","12.5515495","6f10978b-3654-48fb-92fb-478b29e29c69",42,"",17,"B",0.2,"",10.7,"",11.7,"",18.5,"",6.8,"E",1.9,"",3.3,"",9.3,"C",12,"",9.4,704,179,14.8,42.6,1000,882144,2,"",""
"297-PGF-20230412-11-lset",297,"2023-04-12T14:05:38.000Z","Teterow","53.7610183","12.5521233","6f10978b-3654-48fb-92fb-478b29e29c69",36,"",18,"B",0.2,"",19.4,"",12.4,"",18,"",7,"D",1.8,"",3.2,"",10.5,"D",12.1,"",10.1,648,170,14.7,44.9,1000,845220,3,"28",""
"297-PGF-20230412-12-bihf",297,"2023-04-12T14:09:04.000Z","Teterow","53.7613109","12.5527335","6f10978b-3654-48fb-92fb-478b29e29c69",51,"",30,"B",0.1,"",26.6,"",12.5,"",17.3,"",7.3,"D",1.6,"",2.7,"",12.5,"D",16,"",10.1,591,161,14.5,46,999,836669,5,"",""
"297-PGF-20230412-13-eowp",297,"2023-04-12T14:12:37.000Z","Teterow","53.7615853","12.5522093","6f10978b-3654-48fb-92fb-478b29e29c69",39,"",16,"B",0.1,"",15.2,"",13.3,"",16.2,"",6.9,"C",1.7,"",2.9,"",12.1,"D",14.2,"",10.4,526,143,14.5,45,1000,860457,4,"",""
"297-PGF-20230412-14-gbss",297,"2023-04-12T14:19:30.000Z","Teterow","53.7613118","12.5516018","6f10978b-3654-48fb-92fb-478b29e29c69",42,"",23,"B",0.2,"",7.6,"",12.1,"",17.6,"",6.7,"E",1.7,"",3,"",9.5,"C",11.9,"",9.4,546,145,14.1,46.1,1000,879781,2,"",""
"297-PGF-20230412-15-oftf",297,"2023-04-12T14:23:31.000Z","Teterow","53.7609968","12.5509625","6f10978b-3654-48fb-92fb-478b29e29c69",43,"",20,"B",0.2,"",9.1,"",11.4,"",18,"",6.7,"E",1.9,"",3.2,"",9.9,"C",10.8,"",9.4,602,165,13.9,45,1000,908665,2,"",""
"297-PGF-20230412-16-macb",297,"2023-04-12T14:26:09.000Z","Teterow","53.7607113","12.5503496","6f10978b-3654-48fb-92fb-478b29e29c69",43,"",39,"B",0.2,"",8,"",12.2,"",15.2,"",6.6,"D",1.7,"",2.9,"",10.3,"D",9.3,"",9.9,581,160,13.9,45,999,930008,2,"",""
"297-PGF-20230412-17-tgjx",297,"2023-04-12T14:31:43.000Z","Teterow","53.7602443","12.5495279","6f10978b-3654-48fb-92fb-478b29e29c69",67,"",57,"C",0.1,"",20.4,"",11.8,"",13.8,"",7.2,"D",1.5,"",2.7,"",11.1,"D",13.4,"",11,528,147,13.9,44.4,999,922737,4,"28",""
"297-PGF-20230412-18-gvux",297,"2023-04-12T14:35:13.000Z","Teterow","53.7599657","12.548894","6f10978b-3654-48fb-92fb-478b29e29c69",46,"",40,"B",0.2,"",7.1,"",12.2,"",15.9,"",6.8,"E",1.5,"",2.6,"",8.3,"C",11.2,"",10.9,453,124,14.1,44.9,999,921630,2,"28",""
"297-PGF-20230412-19-guou",297,"2023-04-12T14:39:05.000Z","Teterow","53.7602679","12.5484845","6f10978b-3654-48fb-92fb-478b29e29c69",60,"",50,"C",0.2,"",25.2,"",12.3,"",17.7,"",7.3,"D",1.9,"",3.3,"",12.5,"D",17.7,"",10.8,438,122,14.1,43.7,999,940884,4,"28",""
"297-PGF-20230412-20-ttaw",297,"2023-04-12T14:44:09.000Z","Teterow","53.760598","12.549136","6f10978b-3654-48fb-92fb-478b29e29c69",55,"",49,"C",0.2,"",20.1,"",12.9,"",16.6,"",7.2,"D",1.9,"",3.4,"",12.6,"D",14.9,"",10.7,406,116,14.1,43.7,999,959235,4,"",""
"297-PGF-20230412-21-zhox",297,"2023-04-12T14:47:02.000Z","Teterow","53.760924","12.5497065","6f10978b-3654-48fb-92fb-478b29e29c69",46,"",46,"C",0.2,"",15.2,"",9.4,"",17.6,"",6.1,"C",2.6,"",4.5,"",13.9,"D",9.4,"",10.5,327,91,14.1,44.5,999,935522,2,"",""
"297-PGF-20230412-22-eyyr",297,"2023-04-12T14:51:18.000Z","Teterow","53.7612348","12.5503174","6f10978b-3654-48fb-92fb-478b29e29c69",62,"",60,"C",0.2,"",14.4,"",12.3,"",15.4,"",7,"C",1.6,"",2.8,"",7.6,"C",13,"",10,366,106,13.9,46.1,999,917965,4,"28",""
"297-PGF-20230412-23-vjmf",297,"2023-04-12T14:54:15.000Z","Teterow","53.7615276","12.5508743","6f10978b-3654-48fb-92fb-478b29e29c69",44,"",37,"B",0.2,"",18,"",10,"",20.9,"",6.7,"D",2.6,"",4.5,"",11,"D",13.1,"",9.6,346,101,13.9,46.2,1000,903305,3,"28",""
"297-PGF-20230412-24-ovgg",297,"2023-04-12T14:56:51.000Z","Teterow","53.7617864","12.5514234","6f10978b-3654-48fb-92fb-478b29e29c69",62,"",50,"C",0.2,"",19.3,"",13.2,"",17.9,"",7.2,"D",1.9,"",3.2,"",10.8,"D",14.7,"",9.9,303,89,13.8,46.2,1000,885432,4,"28",""
"297-PGF-20230412-25-odeo",297,"2023-04-12T15:00:16.000Z","Teterow","53.7618278","12.550515","6f10978b-3654-48fb-92fb-478b29e29c69",64,"",38,"B",0.2,"",22.2,"",11.8,"",16,"",6.5,"D",2.5,"",4.3,"",14,"D",10.2,"",9.9,322,94,13.7,47.2,1000,888766,2,"",""
"297-PGF-20230412-27-ejal",297,"2023-04-12T15:05:39.000Z","Teterow","53.7611821","12.549229","6f10978b-3654-48fb-92fb-478b29e29c69",89,"",89,"D",0.2,"",13.5,"",10.9,"",20.4,"",6.4,"D",2.5,"",4.3,"",10.4,"D",14.4,"",9.5,324,92,13.4,46.1,999,925533,2,"28",""
"297-PGF-20230412-28-itzz",297,"2023-04-12T15:08:50.000Z","Teterow","53.7607381","12.5483608","6f10978b-3654-48fb-92fb-478b29e29c69",28,"",19,"B",0.2,"",7.2,"",13.6,"",17,"",6.8,"C",1.6,"",2.7,"",9,"C",11.1,"",9.7,400,118,13.5,46.9,999,904161,4,"",""
"297-PGF-20230412-29-bfjf",297,"2023-04-12T15:13:36.000Z","Teterow","53.7604156","12.5477692","6f10978b-3654-48fb-92fb-478b29e29c69",59,"",40,"B",0.1,"",21.8,"",12.2,"",16,"",7.5,"D",1.7,"",2.9,"",14.1,"D",18.4,"",9.9,324,97,13.5,49.8,999,807282,5,"28",""
"297-PGF-20230412-30-bvac",297,"2023-04-12T15:17:40.000Z","Teterow","53.7611151","12.5479022","6f10978b-3654-48fb-92fb-478b29e29c69",71,"",71,"C",0.3,"",25.1,"",11.9,"",21.9,"",6.3,"C",2.3,"",3.9,"",9,"C",13.6,"",10.3,294,87,13.8,47.1,1000,850427,5,"28",""
"297-PGF-20230412-31-tpsp",297,"2023-04-12T15:20:21.000Z","Teterow","53.7614024","12.5485011","6f10978b-3654-48fb-92fb-478b29e29c69",69,"",59,"C",0.2,"",19.3,"",13.3,"",19.6,"",7,"C",2.4,"",4.1,"",11.8,"D",17.4,"",10.1,284,83,13.8,45.8,1000,909599,5,"",""
"297-PGF-20230412-32-kwsc",297,"2023-04-12T15:23:51.000Z","Teterow","53.7616735","12.5490365","6f10978b-3654-48fb-92fb-478b29e29c69",56,"",35,"B",0.2,"",17.1,"",12.7,"",16.9,"",7.2,"D",2.1,"",3.7,"",10.1,"D",13.2,"",9.9,292,88,13.3,48.5,999,889566,4,"28",""
